url,title,members,type,city,category,note
https://t.me/UAeduhubPL,Український Освітній Хаб в Польщі - UA Eduhub PL,7029,channel,Warszawa,батьки/діти/освіта,UA education hub with Warsaw office; 8 recent posts hit tutor/Polish keywords
https://t.me/wroclaw_events,"Сорока на хвості принесла | Вроцлав | афіша, події, безкоштовні заходи | бесплатные мероприятия, афиша, куда сходить, события",6361,channel,Wrocław,батьки/діти/освіта,"UA afisha channel ""Сорока на хвості принесла"" - family/kids events; 1 keyword hit"
https://t.me/infopidtrymka,Український дім: інфопідтримка в Польщі,4364,channel,Warszawa,батьки/діти/освіта,Ukrainian House Warsaw: education/legalization info for parents; 3 keyword hits
https://t.me/polska_lehko,Польська мова - легко,2253,channel,Poland-wide,батьки/діти/освіта,education/school (Polish-language learning)
https://t.me/chat_rabota_legalizacija_poland,Доска объявлений в Польше по темам,2168,group,Poland-wide,батьки/діти/освіта,classifieds/barakholka
https://t.me/eschool_ua,Єдина Школа,1839,channel,Poland-wide,батьки/діти/освіта,UA online-school platform for diaspora families
https://t.me/partyzanka_pl_rb,🏫 Польша от яслей до ВУЗов. Partyzanka,1518,channel,Poland-wide,батьки/діти/освіта,education/school (BY/RU parents: nurseries to universities)
https://t.me/polish_polls,Польский в опросах 🇵🇱 n+1,1399,channel,Poland-wide,батьки/діти/освіта,education/school (Polish-language quizzes)
https://t.me/ednist_in_poland,Єдність в Кракові,1292,channel,Kraków,батьки/діти/освіта,NGO classes for UA kids/adults; edu-keyword hits: 4
https://t.me/razemwpl,RwP.ua 🇵🇱🇺🇦,1244,channel,Poland-wide,батьки/діти/освіта,RwP.ua channel - posts kids events for Poznan; 3 tutor-keyword hits
https://t.me/oksana_krakowmama,Oksana_krakowmama,810,channel,Krakow,батьки/діти/освіта,"UA mom blog: relocation with kids, schooling, adaptation"
https://t.me/eurostudy_work_travel,КАЗАХИ В ПОЛЬШЕ 🇰🇿🇵🇱 [РАБОТА И УЧЕБА],772,group,Poland-wide,батьки/діти/освіта,education/jobs (RU-speaking Kazakhs in PL)
https://t.me/tngrs_krakow,Анонси заходів для підлітків (Краків),626,channel,Kraków,батьки/діти/освіта,UA teens 10-15 — exact tutoring age bracket
https://t.me/ukrschool_ec,Українська школа в ЕС,506,group,Poland/EU-wide,батьки/діти/освіта,"UA school project in Europe, parents+teachers"
https://t.me/wroclaw_parents,Wroclaw_parents,506,group,Wroclaw,батьки/діти/освіта,active parents chat (122 online)
https://t.me/rzeszow_market,Жешув - Барахолка,488,channel,Rzeszów,батьки/діти/освіта,classifieds incl. kids items
https://t.me/art_club4kidsua,Мистецький Клуб Вулик🐝,346,channel,Kraków,батьки/діти/освіта,free art/music/theater classes for UA kids
https://t.me/iwgcdrdsqo81n2u0,"Мамы в Польше👩‍🍼🤰🏼(продажа,обмен детских вещей )",319,group,Poland-wide,батьки/діти/освіта,moms
https://t.me/motherhoodnow,Чат Мамы Краков • Помощь Польша,254,group,Kraków,батьки/діти/освіта,moms chat — direct target
https://t.me/informpoland,Мігрантки в дії (МвД) Катовіце i 🇵🇱 Дівчата,244,group,Katowice/Silesia,батьки/діти/освіта,"women's chat, ""навчання і діти"" in scope — high-value"
https://t.me/studyandworkceptorpl,Учеба и работа в Польше,244,group,Poland-wide,батьки/діти/освіта,education/school
https://t.me/mommyinwroclaw,💙💛 Матусі у Вроцлаві 🇵🇱,226,group,Wroclaw,батьки/діти/освіта,"UA moms info: doctors, education, kids"
https://t.me/uamoms_pl,🇺🇦 Moms in Poland 🇵🇱,169,group,Poland-wide,батьки/діти/освіта,UA moms/parents Q&A about life with kids in PL
https://t.me/motherhoodinf,Мамы Краков 🤍 Помощь Польша,116,channel,Kraków,батьки/діти/освіта,mom info channel; edu hits: 6
https://t.me/sszafh7bu381nwey,Мамы Кракова РБ,104,group,Kraków,батьки/діти/освіта,Belarusian-speaking moms
https://t.me/nostr_pl,НОСТРИФІКАЦІЯ Польща,83,group,Poland-wide,батьки/діти/освіта,education/school (diploma nostrification)
https://t.me/mamapoland,Мамы Кракова Чат | Афиша | Польша,78,group,Kraków,батьки/діти/освіта,moms: upbringing/education in description
https://t.me/mamyvgdansku,Мами з України в Гданську,59,group,Gdansk,батьки/діти/освіта,"UA moms: life with kids, kids events, mutual help"
https://t.me/roditeliwroc,Родители студентов Вроцлава,34,group,Wroclaw,батьки/діти/освіта,parents of students in Wroclaw
https://t.me/wflhg6j31tu4zjhi,Мамы РБ в Варшаве,32,group,Warszawa,батьки/діти/освіта,RU-speaking Belarusian moms in Warsaw
https://t.me/kidsclubkrakow,Розвиваючі заняття у Кракові (6-9 років),31,group,Krakow,батьки/діти/освіта,moms of 6-9yo: kids classes ads + study materials
https://t.me/study_in_poland2020,Study in Poland,30,channel,Poland-wide,батьки/діти/освіта,education/school
https://t.me/studyinpolandandkartapobytu,Karta Pobytu и Образование в Польше,25,channel,Poland-wide,батьки/діти/освіта,education + legalization
https://t.me/policealnachat,ЧАТ Полицеальные школы Польши,16,group,Poland-wide,батьки/діти/освіта,policealna schools admission/study chat
https://t.me/yamama_blog_poland,yamama (_Я Мама_) Poland,13,group,Poland-wide,батьки/діти/освіта,moms networking/swap
https://t.me/ukr_v_pol,Наші в Польщі 🇵🇱🇺🇦,77778,channel,Poland-wide,загальний/міський,news/community
https://t.me/yavpolshi,Я в Польщі,23758,channel,Poland-wide,загальний/міський,UA migrant portal Yavp.pl; 6 keyword hits
https://t.me/have2travel,Гарячі тури з Польщі Кишинева Румунії України Німеччини,19443,group,Poland-wide,загальний/міський,travel deals (UA-in-PL audience)
https://t.me/helpukrainiansjooble,Робота за кордоном | Вакансії | Польща | Чехія | Словаччина | Німеччина | Нідерланди | Литва | Латвія | Естонія | Франція,15011,channel,Poland-wide,загальний/міський,jobs
